ID_GRUPO,ID_FECHA_GRUPO,ID_HORA_INICIO,ID_HORA_FIN,ID_CURSO_ACADEMICO,ID_ASIGNATURA,ID_TIPO_DOCENCIA,ID_COD_GRUPO,ID_PERIODO_DOCENTE,IND_ALUMNOS_GRUPO_PREV,IND_ALUMNOS_GRUPO_REAL,IND_HORAS_PREVISTAS
2024-0-115-102764-54-452,2025-05-30,1500,1700,2024,102764,54,452,1,37,35,50.0
2024-0-115-104351-54-81,2025-05-30,830,1030,2024,104351,54,81,1,57,59,49.5
2024-0-115-102735-1-320,2025-05-30,1130,1330,2024,102735,1,320,1,49,73,26.0
2024-0-115-102735-54-321,2025-05-30,1330,1430,2024,102735,54,321,1,49,64,12.0
2024-0-115-102746-54-412,2025-05-30,930,1030,2024,102746,54,412,1,38,40,12.0
2024-0-115-102775-54-411,2025-05-30,930,1030,2024,102775,54,411,1,41,26,12.0
2024-0-115-102746-54-451,2025-05-30,1700,1800,2024,102746,54,451,1,38,19,12.0
2024-0-115-102764-54-472,2025-05-30,1700,1900,2024,102764,54,472,1,37,44,50.0
2024-0-115-101768-55-23,2025-05-30,1530,1730,2024,101768,55,23,1,17,18,12.0
2024-0-115-101743-55-22,2025-05-30,1530,1730,2024,101743,55,22,1,22,24,12.0
2024-0-115-103797-1-31,2025-05-30,830,930,2024,103797,1,31,1,81,77,26.0
2024-0-115-104362-54-82,2025-05-30,1500,1700,2024,104362,54,82,1,0,25,49.5
2024-0-115-101768-55-21,2025-05-30,1530,1730,2024,101768,55,21,1,18,19,12.0
2024-0-115-102751-54-452,2025-05-30,1030,1130,2024,102751,54,452,1,38,36,12.0
2024-0-115-102746-54-431,2025-05-30,1130,1230,2024,102746,54,431,1,38,50,12.0
2024-0-115-104548-54-611,2025-05-30,1700,1800,2024,104548,54,611,1,14,13,12.0
2024-0-115-103815-54-12,2025-05-30,1630,1730,2024,103815,54,12,0,37,43,24.0
2024-0-115-102775-54-431,2025-05-30,1030,1130,2024,102775,54,431,1,40,27,12.0
2024-0-115-104548-1-61,2025-05-30,1500,1700,2024,104548,1,61,1,14,13,26.0
2024-0-115-102775-54-413,2025-05-30,1230,1330,2024,102775,54,413,1,41,52,12.0
2024-0-115-102751-54-451,2025-05-30,1130,1230,2024,102751,54,451,1,39,36,12.0
2024-0-115-102750-54-451,2025-05-30,1330,1430,2024,102750,54,451,1,48,51,12.0
2024-0-115-102707-54-352,2025-05-30,1600,1700,2024,102707,54,352,1,37,22,30.0
2024-0-115-101745-56-21,2025-05-30,1800,1900,2024,101745,56,21,1,24,30,5.0
2024-0-115-102764-54-431,2025-05-30,1030,1230,2024,102764,54,431,1,37,39,50.0
2024-0-115-103819-55-32,2025-05-30,1630,1800,2024,103819,55,32,0,21,24,18.0
2024-0-115-102707-1-33,2025-05-30,830,930,2024,102707,1,33,1,80,83,45.0
2024-0-115-104343-1-81,2025-05-30,1230,1430,2024,104343,1,81,1,69,72,26.0
2024-0-115-101745-1-11,2025-05-30,1500,1700,2024,101745,1,11,1,48,59,30.0
2024-0-115-103819-55-34,2025-05-30,1500,1630,2024,103819,55,34,0,20,23,18.0
2024-0-115-106943-1-61,2025-05-30,1500,1700,2024,106943,1,61,1,0,33,26.0
2024-0-115-103797-54-351,2025-05-30,1600,1700,2024,103797,54,351,1,40,24,12.0
2024-0-115-106056-1-21,2025-05-30,1130,1230,2024,106056,1,21,1,70,74,20.0
2024-0-115-102750-54-452,2025-05-30,1230,1330,2024,102750,54,452,1,47,50,12.0
2024-0-115-102690-54-332,2025-05-30,930,1030,2024,102690,54,332,1,18,22,15.0
2024-0-115-102775-54-452,2025-05-30,1700,1800,2024,102775,54,452,1,40,28,12.0
2024-0-115-102690-54-331,2025-05-30,1030,1130,2024,102690,54,331,1,53,58,15.0
2024-0-115-106043-54-212,2025-05-30,930,1030,2024,106043,54,212,1,50,49,23.0
2024-0-115-103815-54-11,2025-05-30,1530,1630,2024,103815,54,11,0,38,43,24.0
2024-0-115-102708-54-312,2025-05-30,1030,1130,2024,102708,54,312,1,45,50,6.0
2024-0-115-104365-54-81,2025-05-30,1300,1500,2024,104365,54,81,1,29,37,49.5
2024-0-115-102707-54-311,2025-05-30,1030,1130,2024,102707,54,311,1,36,41,30.0
2024-0-115-103800-54-322,2025-05-30,1330,1430,2024,103800,54,322,1,31,49,15.0
2024-0-115-102708-54-311,2025-05-30,930,1030,2024,102708,54,311,1,45,50,6.0
2024-0-115-106057-54-213,2025-05-30,830,1030,2024,106057,54,213,1,21,5,60.0
2024-0-115-102768-1-45,2025-05-30,1500,1700,2024,102768,1,45,1,81,82,26.0
2024-0-115-102789-1-420,2025-05-30,830,1030,2024,102789,1,420,1,86,79,13.0
